N	Ахо-Карасик	Турбо-бойер-мура
1	948093,300	672105,100
2	1025209,500	658685,100
3	1097133,300	668586,000
4	1174359,200	820940,600
5	1458039,800	664198,500
6	1336579,600	658590,100
7	1432852,400	666795,100
8	1521772,000	669528,400
9	1654771,300	670811,400
10	1676982,300	656916,000
11	1765150,300	676266,300
12	1857376,400	659295,700
13	1986530,400	660999,300
14	2019245,100	654745,200
15	2135225,000	656162,600
16	2340197,200	652683,200
17	2271296,800	739938,200
18	2432999,800	659565,100
19	2455886,400	651110,100
