N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	2,900	2,300	85,200
4	1,400	1,300	0,100
8	0,600	0,300	0,400
16	0,300	0,700	0,200
32	0,400	1,100	0,100
64	2,400	1,500	1,400
128	3,300	1,600	0,500
256	3,400	1,100	0,300
512	5,000	4,300	0,500
1024	8,600	1,100	1,100
2048	17,200	1,800	0,800
4096	26,500	1,700	0,300
8192	44,700	1,000	0,200
16384	88,600	0,600	0,200
32768	174,400	0,500	0,300
65536	353,500	0,600	0,200
131072	1037,400	2,400	0,500
262144	1751,100	2,600	0,600
524288	3737,900	3,600	0,500
