N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	2,000	1,500	0,300
4	0,600	0,700	0,200
8	0,600	0,600	0,200
16	0,500	0,600	0,200
32	0,800	0,600	0,200
64	1,000	0,800	0,200
128	1,400	0,700	0,200
256	2,400	0,600	0,300
512	4,900	1,300	0,300
1024	8,200	0,900	0,300
2048	16,000	0,900	0,300
4096	32,700	0,700	0,300
8192	44,600	1,000	0,300
16384	91,400	0,900	0,400
32768	178,200	0,500	0,200
65536	370,000	1,200	0,300
131072	732,600	1,600	0,200
262144	1585,600	3,500	0,600
524288	3763,100	11,000	0,800
