N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	1,600	1,500	0,200
4	0,600	0,600	0,200
8	0,600	0,600	0,200
16	0,700	0,700	0,300
32	0,600	0,400	0,100
64	1,300	13,600	0,200
128	1,100	0,400	0,200
256	2,100	0,500	0,200
512	4,600	1,200	0,400
1024	8,400	0,800	0,300
2048	17,100	1,200	0,400
4096	32,700	0,800	0,400
8192	47,800	0,800	0,300
16384	90,600	0,600	0,300
32768	265,000	64,300	0,400
65536	363,400	0,600	0,300
131072	898,000	2,100	0,300
262144	1868,600	3,700	0,500
524288	3331,000	3,000	0,400
