N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	1,100	1,200	0,300
4	1,200	1,000	0,200
8	0,500	0,500	0,200
16	0,900	1,000	0,300
32	0,700	0,900	0,300
64	1,300	1,100	0,400
128	1,800	1,200	0,400
256	2,900	1,200	0,400
512	4,800	1,300	0,500
1024	8,300	0,600	0,200
2048	16,100	0,600	0,300
4096	32,400	1,100	0,400
8192	66,500	2,400	0,300
16384	128,900	1,400	0,500
32768	229,700	1,700	0,400
65536	361,200	1,100	0,400
131072	852,300	1,100	0,300
262144	1728,000	1,700	0,400
524288	3225,000	2,200	3,200
