N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	1,200	1,200	0,500
4	1,300	4,400	0,300
8	0,400	0,600	0,200
16	0,900	1,000	0,400
32	0,700	0,500	0,200
64	0,900	0,600	0,300
128	1,800	1,000	0,400
256	1,800	0,500	0,200
512	2,900	0,500	0,200
1024	8,800	1,300	0,400
2048	16,900	1,200	0,400
4096	22,900	0,900	0,200
8192	51,900	0,700	0,200
16384	95,100	0,700	0,200
32768	225,000	2,700	0,300
65536	460,900	1,200	0,300
131072	826,000	3,800	0,400
262144	1449,300	2,000	0,300
524288	3678,400	3,400	0,400
